recording,ambulances
testAudioAmbulance_00.mp3,1
testAudioAmbulance_01.mp3,1
testAudioAmbulance_02.mp3,1
testAudioAmbulance_03.mp3,1
testAudioAmbulance_04.mp3,0
testAudioAmbulance_05.mp3,1
testAudioAmbulance_06.mp3,1
testAudioAmbulance_07.mp3,1
testAudioAmbulance_08.mp3,1
testAudioAmbulance_09.mp3,5
testAudioAmbulance_10.mp3,2
testAudioAmbulance_11.mp3,3
testAudioAmbulance_12.mp3,2
testAudioAmbulance_13.mp3,1
testAudioAmbulance_14.mp3,1
testAudioAmbulance_15.mp3,1
testAudioAmbulance_16.mp3,2
testAudioAmbulance_17.mp3,2
testAudioAmbulance_18.mp3,3
testAudioAmbulance_19.mp3,1
testAudioAmbulance_20.mp3,3
testAudioAmbulance_21.mp3,2
testAudioAmbulance_22.mp3,3
testAudioAmbulance_23.mp3,1
testAudioAmbulance_24.mp3,1
testAudioAmbulance_25.mp3,2
testAudioAmbulance_26.mp3,5
testAudioAmbulance_27.mp3,1
testAudioAmbulance_28.mp3,2
testAudioAmbulance_29.mp3,1
testAudioAmbulance_30.mp3,7
testAudioAmbulance_32.mp3,0
testAudioNOAmbulance_00.mp3,0
testAudioNOAmbulance_01.mp3,0
testAudioNOAmbulance_02.mp3,0
testAudioNOAmbulance_03.mp3,0
testAudioNOAmbulance_04.mp3,0
testAudioNOAmbulance_05.mp3,0
testAudioNOAmbulance_06.mp3,0
testAudioNOAmbulance_07.mp3,0
testAudioNOAmbulance_08.mp3,0
testAudioNOAmbulance_10.mp3,0
testAudioNOAmbulance_11.mp3,0
testAudioNOAmbulance_13.mp3,0
testAudioNOAmbulance_14.mp3,0
testAudioNOAmbulance_15.mp3,0
testAudioNOAmbulance_16.mp3,0
testAudioNOAmbulance_17.mp3,1
testAudioNOAmbulance_18.mp3,0
testAudioNOAmbulance_19.mp3,0
testAudioNOAmbulance_20.mp3,1
testAudioNOAmbulance_21.mp3,0
testAudioNOAmbulance_22.mp3,0
testAudioNOAmbulance_23.mp3,2
testAudioNOAmbulance_24.mp3,0
testAudioNOAmbulance_25.mp3,0
testAudioNOAmbulance_26.mp3,0
testAudioNOAmbulance_27.mp3,0
testAudioNOAmbulance_28.mp3,0
testAudioNOAmbulance_29.mp3,0
